CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMP,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
I-200-18026-338377,CERTIFIED,1/29/18,2/2/18,H-1B,7/28/18,7/27/21,MICROSOFT CORPORATION,,1 MICROSOFT WAY,REDMOND,WA,98052,UNITED STATES OF AMERICA,,4258828080,,N,_,,,SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,51121,1,0,1,0,0,0,0,Y,"112,549.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"143,915.00",0,Year,N,N,NA,,,REDMOND,KING,WA,98052,
I-200-17296-353451,CERTIFIED,10/23/17,10/27/17,H-1B,11/6/17,11/6/20,ERNST & YOUNG U.S. LLP,,200 PLAZA DRIVE,SECAUCUS,NJ,7094,UNITED STATES OF AMERICA,,2018723003,,Y,BRADSHAW_ MELANIE,TORONTO,,TAX SENIOR,13-2011,ACCOUNTANTS AND AUDITORS,541211,1,0,0,0,0,1,0,Y,"79,976.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"100,000.00",0,Year,N,N,NA,,,SANTA CLARA,SAN JOSE,CA,95110,
I-200-18242-524477,CERTIFIED,8/30/18,9/6/18,H-1B,9/10/18,9/9/21,LOGIXHUB LLC,,320 DECKER DRIVE,IRVING,TX,75062,UNITED STATES OF AMERICA,,2145419305,,N,_,,,DATABASE ADMINISTRATOR,15-1141,DATABASE ADMINISTRATORS,541511,1,0,0,0,0,1,0,Y,"77,792.00",Year,Level II,OES,2018,OFLC ONLINE DATA CENTER,"78,240.00",0,Year,N,N,NA,,,IRVING,DALLAS,TX,75062,
I-200-18070-575236,CERTIFIED,,3/30/18,H-1B,9/10/18,9/9/21,HEXAWARE TECHNOLOGIES_ INC.,N/A,101 WOOD AVENUE SOUTH,ISELIN,NJ,8830,UNITED STATES OF AMERICA,N/A,6094096950,,Y,DUTOT_ CHRISTOPHER,TROY,MI,SOFTWARE ENGINEER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,5,5,0,0,0,0,0,Y,"84,406.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"84,406.00","85,000.00",Year,Y,N,Y,,,NEW CASTLE,NEW CASTLE,DE,19720,
I-200-18243-850522,CERTIFIED,8/31/18,9/7/18,H-1B,9/7/18,9/6/21,ECLOUD LABS_INC.,,120 S WOOD AVENUE,ISELIN,NJ,8830,UNITED STATES OF AMERICA,,7327501323,,Y,ALLEN_ THOMAS,EDISON,NJ,MICROSOFT DYNAMICS CRM APPLICATION DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,0,0,0,0,0,1,Y,"87,714.00",Year,Level III,OES,2018,OFLC ONLINE DATA CENTER,"95,000.00",0,Year,Y,N,Y,Y,,BIRMINGHAM,SHELBY,AL,35244,
I-200-18142-939501,CERTIFIED,5/22/18,5/29/18,H-1B,5/29/18,5/28/21,OBERON IT,,1404 W WALNUT HILL LN,IRVING,TX,75038,UNITED STATES OF AMERICA,,8666609190,,Y,GARRITSON_ JAMES,RICHARDSON,TX,SENIOR SYSTEM ARCHITECT,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,0,0,0,0,0,1,Y,"71,864.00",Year,Level II,Other,2017,OFLC ONLINE DATA CENTER,"74,000.00",0,Year,Y,N,Y,,,SUNRISE,BROWARD,FL,33323,
I-200-18121-552858,CERTIFIED,5/1/18,5/7/18,H-1B,5/2/18,10/26/18,ICONSOFT INC.,,101 CAMBRIDGE STREET SUITE 360,BURLINGTON,MA,1803,UNITED STATES OF AMERICA,,8882054614,1,N,_,,,SENIOR ORACLE ADF DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,0,1,0,0,0,0,Y,"92,331.00",Year,Level III,Other,2017,OFLC ONLINE DATA CENTER,"114,000.00",0,Year,Y,N,Y,,,JACKSONVILLE,DUVAL COUNTY,FL,32202,
I-200-18215-849606,CERTIFIED,8/3/18,8/9/18,H-1B,8/11/18,8/11/21,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,,211 QUALITY CIRCLE,COLLEGE STATION,TX,77845,UNITED STATES OF AMERICA,,2019661249,,N,_,,,SENIOR SYSTEMS ANALYST JC60,15-1121,COMPUTER SYSTEMS ANALYST,541512,1,0,1,0,0,0,0,Y,"80,579.00",Year,Level II,OES,2018,OFLC ONLINE DATA CENTER,"80,579.00",0,Year,Y,N,Y,,,OWINGS MILLS,BALTIMORE,MD,21117,
I-201-17339-472823,CERTIFIED,12/8/17,12/14/17,H-1B1 Chile,12/8/17,6/7/19,ISHI SYSTEMS INC,,185 HUDSON STREET,JERSEY CITY,NJ,7311,UNITED STATES OF AMERICA,,2013326900,,N,_,,,ASSOCIATE PRODUCT MANAGER(15-1199.09),15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,0,1,0,0,0,0,Y,"88,317.00",Year,Level III,OES,2017,OFLC ONLINE DATA CENTER,"90,000.00",0,Year,,,,,,JERSEY CITY,HUDSON,NJ,7311,
I-200-18233-239931,CERTIFIED,8/21/18,8/27/18,H-1B,9/5/18,9/4/21,WB SOLUTIONS_ LLC,,7320 E FLETCHER AVE,TAMPA,FL,33637,UNITED STATES OF AMERICA,,8133300099,,Y,KIDAMBI_ VAMAN,TRUMBULL,CT,SENIOR JAVA DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,0,0,0,0,1,0,Y,"104,790.00",Year,Level III,OES,2018,OFLC ONLINE DATA CENTER,"105,000.00",0,Year,Y,N,Y,Y,,ALPHARETTA,FULTON,GA,30005,
I-200-18059-006093,CERTIFIED,2/28/18,3/6/18,H-1B,5/15/18,5/15/21,INFOSTRETCH CORPORATION,N/A,3200 PATRICK HENRY DRIVE_ SUITE 250,SANTA CLARA,CA,95054,UNITED STATES OF AMERICA,,4087271100,,N,_,,,SOFTWARE DEVELOPER,15-1132,SOFTWARE DEVELOPERS_ APPLICATIONS,541511,1,0,0,1,0,0,0,Y,"109,325.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"115,000.00",0,Year,Y,N,Y,Y,,PLEASANTON,ALAMEDA,CA,94588,
I-200-18107-783286,CERTIFIED,4/18/18,4/24/18,H-1B,6/1/18,5/31/21,THE ESAB GROUP_ INC.,,181 E. EVANS STREET,FLORENCE,SC,29506,UNITED STATES OF AMERICA,,8436644200,,Y,STOVER_ HAYES,PITTSBURGH,PA,GLOBAL MMA ADVANCED ENGINEER,17-2199,ENGINEERS_ ALL OTHER,333992,1,0,0,1,0,0,0,Y,"82,638.00",Year,Level III,OES,2017,OFLC ONLINE DATA CENTER,"82,638.00",0,Year,N,N,NA,,,HANOVER,YORK,PA,17331,
I-200-18095-871087,CERTIFIED,4/5/18,4/11/18,H-1B,4/12/18,4/11/21,LARSEN & TOUBRO INFOTECH LIMITED,N/A,2035 LINCOLN HIGHWAY_ EDISON SQUARE WEST,EDISON,NJ,8817,UNITED STATES OF AMERICA,,7322486147,,Y,HASS_ TREVOR,TROY,MI,TECHNICAL CONSULTANT,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,0,0,0,0,1,0,Y,"69,701.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"90,000.00",0,Year,Y,N,Y,,,LONG ISLAND CITY,QUEENS,NY,11101,
I-200-18057-019597,CERTIFIED,2/26/18,3/2/18,H-1B,8/23/18,8/22/21,TATA CONSULTANCY SERVICES LIMITED,,9201 CORPORATE BOULEVARD,ROCKVILLE,MD,20850,UNITED STATES OF AMERICA,N/A,3012319083,226,N,_,,,ENGINEER,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,1,0,0,0,0,0,Y,"65,707.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"65,707.00","88,200.00",Year,Y,N,Y,,,ST. PAUL,RAMSEY,MN,55112,
I-200-18065-583678,CERTIFIED,3/6/18,3/12/18,H-1B,9/5/18,9/4/21,ACRO SERVICE CORPORATION,,39209 W. SIX MILE ROAD,LIVONIA,MI,48152,UNITED STATES OF AMERICA,N/A,7345911100,,N,_,,,BUSINESS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,561320,1,1,0,0,0,0,0,Y,30.97,Hour,Level II,OES,2018,OFLC ONLINE DATA CENTER,38,0,Hour,N,N,NA,Y,,ALBUQUERQUE,BERNALILLO,NM,87108,
I-200-18024-890131,CERTIFIED,1/24/18,1/30/18,H-1B,7/26/18,7/25/21,TECH MAHINDRA (AMERICAS)_INC.,,1001 DURHAM AVENUE,SOUTH PLAINFIELD,NJ,7080,UNITED STATES OF AMERICA,,9732169008,,N,_,,,SOLUTIONS ARCHITECT,15-1199,COMPUTER OCCUPATIONS_ ALL OTHER,541511,1,1,0,0,0,0,0,Y,"65,999.00",Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,"65,999.00",0,Year,Y,N,Y,Y,,SOUTHFIELD,OAKLAND,MI,48034,
